"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABCD1",0.0191834090658749,0.743842842315495,0.035,0.022,1
"PSCA",0.0191845724160622,0.719996100361127,0.036,0.023,1
"C12orf66",0.0192143153093186,0.656794033222077,0.038,0.024,1
"DNMT1",0.0193444365969726,0.193754591748295,0.175,0.142,1
"RAMP2",0.0193568625350553,-0.509137898854375,0.081,0.106,1
"KAT5",0.0193638837179963,0.279470482407927,0.099,0.074,1
"ARHGDIB",0.0194414224797908,-0.33398253707658,0.373,0.393,1
"RAB11FIP5",0.0194524001639916,0.182677912776531,0.149,0.119,1
"SPATC1L",0.0194589617460297,0.475514136812188,0.065,0.046,1
"FBXO32",0.0194990471864873,-0.332640243488577,0.245,0.277,1
"ZNF18",0.0195014548287622,0.628365624895559,0.037,0.023,1
"ZBTB3",0.0195190246675334,0.697906558148636,0.032,0.019,1
"RGS12",0.0195436419926838,0.456961694527334,0.06,0.042,1
"LPAR1",0.0196083486884862,-0.758996915940437,0.044,0.064,1
"ESYT1",0.0196238201994189,0.111438952292829,0.287,0.242,1
"ZNF48",0.0196422353509594,0.695479820754096,0.021,0.011,1
"PTHLH",0.0196568582963614,0.60633931856556,0.037,0.023,1
"PCYOX1",0.0196655147422367,0.241209907232578,0.116,0.09,1
"NIF3L1",0.0196668188101819,0.619904046147363,0.033,0.02,1
"HIVEP3",0.0196957186554713,0.654837836256751,0.032,0.019,1
"OGFR",0.0197572328570804,0.217948786270541,0.156,0.125,1
"GPX8",0.0197582226070788,0.188174648388377,0.181,0.148,1
"TRAJ24",0.0197749554486258,-0.864966400360029,0.024,0.039,1
"DONSON",0.0197768707088446,0.522300565400164,0.085,0.063,1
"BIRC2",0.0197838491236165,0.168808505406468,0.191,0.157,1
"ITGB7",0.0197968694271259,0.290563450659793,0.089,0.066,1
"CLN8",0.0198001155968492,0.282869058869792,0.124,0.097,1
"MPI",0.0198290885428385,0.407151394756392,0.066,0.047,1
"TAF1",0.0198405416748819,0.287794618590745,0.141,0.112,1
"PTGFRN",0.0198440150408158,-0.38028624535735,0.23,0.258,1
"SH3BP5L",0.0198977465880263,0.293319974146377,0.111,0.086,1
"DNAJC13",0.0199234232400657,0.109165315900507,0.178,0.144,1
"ZSCAN26",0.0199970444587885,0.547169542047579,0.036,0.023,1
"SPRYD3",0.0200274121225797,0.173038404590998,0.217,0.18,1
"MIEF1",0.0201082980089447,0.283903619717919,0.144,0.115,1
"ADAMTS6",0.020144501275607,0.355062883607938,0.067,0.047,1
"KRIT1",0.0202633051086789,0.307615721205478,0.092,0.068,1
"BAIAP2",0.0202849176820614,0.321387871474168,0.095,0.071,1
"TCEA1",0.0203029104125671,0.43042624728365,0.064,0.045,1
"CYTH1",0.0203263825152055,0.194144569055541,0.121,0.094,1
"CD37",0.0203307923998169,-0.49824958271164,0.123,0.151,1
"PIAS1",0.0203480418767458,0.347843792332924,0.077,0.056,1
"GPATCH3",0.0203716471365862,0.888893175118778,0.022,0.011,1
"CEP170",0.0203833168347118,0.159699124272893,0.207,0.171,1
"DPP7",0.0204104826611889,0.202061165358218,0.268,0.229,1
"POGLUT3",0.0204177267609632,0.285604026591031,0.084,0.062,1
"MYH7B",0.0204742647016617,0.844499055760324,0.022,0.011,1
"PER1",0.0205614773946647,0.377205319350057,0.059,0.041,1
"LRSAM1",0.0205630491980892,0.438087561497079,0.058,0.04,1
"MACF1",0.0205643818797179,-0.26212089035795,0.376,0.397,1
"DDIT4L",0.0205773226715924,0.801430333868439,0.022,0.011,1
"PI4KA",0.0205870159254195,0.138942410015022,0.181,0.147,1
"RNF113B",0.020660100716631,1.01169426444706,0.017,0.008,1
"C1QL1",0.020660100716631,1.01169426444706,0.017,0.008,1
"MED20",0.0206775196113341,0.562023130066863,0.047,0.031,1
"CLK1",0.0207719019783415,0.211418535608084,0.136,0.107,1
"LYST",0.020791682452508,0.346222396114061,0.071,0.051,1
"ELOVL5",0.0208054459945083,0.19352157327451,0.161,0.129,1
"ERLEC1",0.0208064118942101,0.119117459580406,0.233,0.193,1
"RILP",0.020816151258156,0.446631321163613,0.068,0.049,1
"ATOX1",0.0208162094425091,0.102606703690099,0.321,0.275,1
"PLIN5",0.0208213724551614,1.4808084364817,0.011,0.004,1
"TAB2",0.0208351020208539,0.164344161328588,0.176,0.143,1
"SPATS2",0.0208388118689396,0.294941891170367,0.087,0.064,1
"RAB31",0.0208830890652647,-0.32133254769674,0.333,0.356,1
"OTX1",0.0209011071132146,1.36533121906177,0.011,0.004,1
"BRSK2",0.0209011071132146,1.36533121906177,0.011,0.004,1
"KCNN3",0.0209639035563161,-0.956596875825597,0.022,0.037,1
"ADGRB1",0.0209813135877423,1.24985400164183,0.011,0.004,1
"COG8",0.0210384016373322,0.347183872351505,0.075,0.054,1
"KIAA0556",0.0211441982314688,0.30711660511647,0.08,0.059,1
"TAF15",0.0211725457866967,0.109127306397239,0.221,0.183,1
"GTF2E1",0.021261862933054,0.553776308474875,0.046,0.031,1
"PINX1",0.0212741297711153,0.386495829059808,0.094,0.071,1
"CITED2",0.0213205921688026,0.271003836513612,0.104,0.08,1
"CABIN1",0.0214042301120423,0.233801596356463,0.105,0.08,1
"APBA3",0.0214322727508715,0.365331219061765,0.074,0.054,1
"ABLIM3",0.0214380469924474,0.102296813227971,0.251,0.211,1
"DISC1",0.0214879739784476,0.385509100999395,0.068,0.049,1
"EPHX2",0.021498690071178,0.397511624810915,0.063,0.044,1
"STK11",0.0215039827587366,0.132354047084151,0.249,0.209,1
"DDX51",0.0215118960994824,0.507350223934194,0.046,0.031,1
"FGD5",0.0215186426277272,0.262237726097661,0.102,0.078,1
"ATG4B",0.0215231777202973,0.135161447133598,0.171,0.138,1
"DCUN1D4",0.0216828643953017,0.286259648070566,0.127,0.1,1
"OCEL1",0.0217324270612516,0.183547133751136,0.159,0.127,1
"BHLHE41",0.0217654010727881,0.409052596491083,0.062,0.044,1
"NME7",0.0218108530139247,0.490862101145624,0.046,0.031,1
"SLC2A3",0.0218327564715548,0.176428542805186,0.168,0.136,1
"FGF18",0.0219154405728523,1.18475897341994,0.014,0.006,1
"C21orf91",0.0219564433017055,0.217687664995459,0.111,0.086,1
"TBC1D30",0.0220066843658218,1.10229681322797,0.014,0.006,1
"NDUFAF7",0.0220075222920796,0.325364811744121,0.084,0.062,1
"RIMS3",0.0220180119873913,0.622106634423877,0.042,0.028,1
"MINDY2",0.0220526125173856,-0.381041828360139,0.179,0.209,1
"ARFGAP1",0.0220738946933038,0.227151801628402,0.172,0.141,1
"ZNF384",0.0221231482823961,0.25198974598582,0.097,0.073,1
"DHFR2",0.0221780220088769,1.0434031241744,0.018,0.009,1
"DHRS13",0.0222057497605616,1.02829623178419,0.018,0.009,1
"LRRC32",0.0222179210633831,-0.570538443518519,0.106,0.132,1
"GPAA1",0.0223301405383688,0.191046678240709,0.217,0.182,1
"CHRDL1",0.0223328604954838,-1.04405971707594,0.014,0.026,1
"MED23",0.0223473139858257,0.316183569732677,0.094,0.071,1
"ABCA6",0.0224480762275866,-1.21963128165939,0.007,0.017,1
"ZNF101",0.0224759631151053,0.405973203559111,0.066,0.047,1
"JADE1",0.0225001766620345,0.44476568655617,0.053,0.036,1
"RBM28",0.0225080724977695,0.238798813132834,0.109,0.084,1
"NOM1",0.0226467566197757,0.281062302164161,0.119,0.093,1
"CHRNA3",0.0226649488365473,0.356112689032386,0.071,0.051,1
"GOLGA1",0.0227777519095368,0.30120088164205,0.101,0.078,1
"SCART1",0.0227942538532144,0.830994791410578,0.026,0.015,1
"B3GNT9",0.02284271831211,0.576835324255477,0.041,0.027,1
