"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT1G",1.9192214758034e-205,4.5939421212713,0.974,0.216,2.80187143252538e-201
"JCHAIN",1.1665266152523e-195,4.28877931015979,1,0.337,1.70301220560684e-191
"IGHA1",9.4912324688126e-183,4.07047208204722,1,0.467,1.38562502812195e-178
"MT1E",4.05076212569023e-178,3.71727631713426,0.966,0.333,5.91370762729516e-174
"IGKC",6.16200334816632e-177,3.81132041164526,1,0.835,8.995908687988e-173
"ACTB",8.19533339381722e-153,-1.14193555022942,1,1,1.19643672216338e-148
"MT1F",6.6676843961587e-152,4.05203976201578,0.798,0.121,9.73415244995208e-148
"CLCA1",5.93731028004147e-150,4.44489220624077,0.731,0.07,8.66787927783255e-146
"MT1H",1.16500203929316e-149,4.19570687472476,0.746,0.083,1.70078647716408e-145
"IGLC1",2.86626871979832e-145,2.87746291135695,0.977,0.386,4.18446570403357e-141
"ATP8B1",2.6522647501458e-131,3.08959275347837,0.865,0.277,3.87204130873786e-127
"FCGBP",1.55825314552162e-130,3.78493484633446,0.751,0.124,2.27489376714702e-126
"ITM2C",1.48620980273878e-129,2.86068358540541,0.889,0.325,2.16971769101834e-125
"PIGR",5.82317597288098e-123,1.99722118752702,0.977,0.662,8.50125460280894e-119
"ADH1C",3.56428036050815e-121,4.32019391403037,0.606,0.051,5.20349289830584e-117
"S100A6",6.29145146343765e-121,-1.11209157501727,1,1,9.18488999147263e-117
"IGHM",3.51395545715326e-118,3.73297571069903,0.71,0.122,5.13002357189804e-114
"S100A11",4.3869549653056e-118,-1.71799362767167,0.889,0.994,6.40451555384965e-114
"IGHJ6",3.77435653406211e-114,4.04472491736638,0.598,0.057,5.51018310407728e-110
"SPINK4",7.6190685052527e-114,4.1586875703565,0.611,0.068,1.11230781108184e-109
"ANXA2",1.08749662746328e-111,-1.42642753625935,0.935,0.996,1.58763632643365e-107
"TGFBI",2.21094203494329e-108,-1.77329529103104,0.702,0.971,3.22775427681371e-104
