"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT1G",3.24616930419011e-227,3.36239751806841,0.974,0.328,4.73908256718715e-223
"MT1H",8.28170011647405e-221,3.22713735723309,0.746,0.095,1.20904540000405e-216
"CLCA1",3.03798325169303e-206,3.4329185733788,0.731,0.102,4.43515174914666e-202
"JCHAIN",1.68972569350836e-201,3.03332306030083,1,0.511,2.46683053995286e-197
"MT1F",3.94768241276296e-200,3.19992777571283,0.798,0.147,5.76322155439264e-196
"MT1E",7.39280689440353e-196,2.89504655269951,0.966,0.411,1.07927587851397e-191
"PIGR",1.76129234369407e-194,2.80963830493344,0.977,0.514,2.57131069255898e-190
"FCGBP",2.4986640843506e-194,3.43086634397291,0.751,0.128,3.64779969674344e-190
"ADH1C",6.60589767178255e-186,3.53119698670084,0.606,0.067,9.64395001103535e-182
"IGHA1",1.3214122960998e-183,2.80855493874955,1,0.751,1.9291298110761e-179
"PHGR1",1.47192470079786e-182,2.91541641934413,0.824,0.185,2.14886287069479e-178
"IGKC",5.5496285464062e-177,2.46459097451394,1,0.972,8.10190271489841e-173
"HMGCS2",5.3259863691993e-175,3.50685176458399,0.617,0.081,7.77540750039406e-171
"PRAC1",3.18709936500871e-171,3.56860673623454,0.523,0.049,4.65284636297621e-167
"SPINK4",8.44744698905428e-170,3.38141439397546,0.611,0.081,1.23324278593203e-165
"ATP8B1",6.43918231820169e-169,2.74885238631971,0.865,0.255,9.40056226634265e-165
"MUC5B",2.28894880103548e-163,3.65899147040932,0.51,0.05,3.3416363546317e-159
"COL3A1",9.93233725902491e-162,-1.42955105780789,1,0.999,1.45002191644505e-157
"COL1A2",1.11258771775719e-161,-1.59050889832224,1,0.999,1.62426680915372e-157
"COL1A1",1.37268841842282e-153,-1.54845349466738,0.997,1,2.00398782205548e-149
"LGALS4",7.32677409618295e-148,2.04699121921813,0.972,0.727,1.06963575030175e-143
"MUC2",1.51418594881923e-145,2.78513763907362,0.806,0.238,2.21056006668119e-141
"NXPE4",2.13764450896114e-144,3.35776710642354,0.472,0.048,3.12074721863237e-140
"ITLN1",4.41664877959146e-141,3.62572916043591,0.435,0.041,6.44786555332557e-137
"ACTB",8.37449633615095e-139,-1.04294850604499,1,1,1.22259272011468e-134
"FN1",2.79504470221888e-133,-1.80961388614262,0.984,0.999,4.08048576076934e-129
"SPARC",1.53208621653465e-129,-1.56833274688791,0.889,0.997,2.23669266751893e-125
"IGHM",3.19688245018916e-129,2.35998094413039,0.71,0.171,4.66712868903116e-125
"IGHJ6",1.18376499539326e-127,2.75109305426322,0.598,0.112,1.72817851677462e-123
"MUC12",2.508898670857e-127,2.3500791887002,0.881,0.407,3.66274116958413e-123
"IGKV4-1",7.71659739486312e-124,2.54311894462863,0.694,0.175,1.12654605367607e-119
"STARD10",7.89848552868917e-124,2.46481425007592,0.772,0.259,1.15309990233333e-119
"ITM2C",3.03802015671102e-123,2.12606728534085,0.889,0.433,4.43520562678241e-119
"COL6A3",5.32890217480423e-122,-1.51204074778804,0.834,0.992,7.77966428499669e-118
"GPA33",1.35987679225878e-121,2.99717739116707,0.51,0.08,1.98528412901859e-117
"TSPAN8",5.10593131411582e-118,1.59477236084649,0.966,0.801,7.45414912547768e-114
"CDH17",2.53764964034282e-116,2.1790726143978,0.813,0.301,3.70471470993648e-112
"MYL9",4.50882434960111e-115,-1.53962317958169,0.912,0.996,6.58243266798266e-111
"EPB41L4B",2.58515935536669e-111,2.92808283118029,0.469,0.073,3.77407414289983e-107
"FLNA",3.50362955040985e-111,-1.50284814696645,0.852,0.994,5.11494878064335e-107
"SLC26A3",3.74800357691298e-111,3.0350409539277,0.503,0.086,5.47171042193527e-107
"SULF1",1.21500994661699e-109,-1.94758420021857,0.552,0.946,1.77379302106614e-105
"LGALS1",3.4716627952442e-108,-1.53239817819616,0.741,0.98,5.06828051477701e-104
"FABP1",7.16039426011106e-108,2.54747731054755,0.642,0.168,1.04534595803361e-103
"IGFBP7",1.62935198098696e-107,-1.23966347481841,0.922,0.995,2.37869095704286e-103
"IGLC1",3.92406188615309e-106,1.31390248464093,0.977,0.63,5.72873794759489e-102
"MT2A",3.40926664901381e-105,1.36823056942593,0.982,0.878,4.97718838089526e-101
"PCK1",1.65447452781048e-104,3.79666406989134,0.308,0.025,2.41536736315051e-100
"C10orf99",3.4039557459968e-101,3.14592188816995,0.358,0.04,4.96943499358073e-97
"TIMP1",4.67374274065411e-99,-1.50187515788937,0.785,0.983,6.82319702708094e-95
"AMN",1.04650852794392e-97,3.04554041272847,0.381,0.05,1.52779779994533e-93
"SLC39A5",2.5092157407594e-97,3.1162820040915,0.36,0.044,3.66320405993465e-93
"ITGB1",4.27741174700396e-96,-1.09351221123734,0.948,0.998,6.24459340945107e-92
"SLC26A2",1.865033119488e-93,2.42717977059205,0.573,0.142,2.72276185114053e-89
"CA12",3.28301391794712e-92,2.97831836391576,0.35,0.044,4.792872018811e-88
"CA2",1.30982658391276e-91,2.59761722850717,0.495,0.103,1.91221582985424e-87
"TAGLN",1.89620325855788e-90,-1.68236048662953,0.653,0.95,2.76826713716865e-86
"HSD11B2",5.63252309480719e-90,2.62058684146743,0.451,0.085,8.22292046610902e-86
"LGALS2",3.60352178332769e-89,3.04783465393429,0.342,0.043,5.2607814514801e-85
"SELENBP1",3.94583187954472e-89,2.44445103895301,0.552,0.138,5.76051996094733e-85
"TCEA3",1.23453591339684e-88,2.28868738568211,0.541,0.127,1.80229897996804e-84
"C15orf48",8.71458204151244e-87,1.95338779519517,0.749,0.299,1.2722418322404e-82
"HSPB1",1.52184964818997e-86,-1.13551772299258,0.894,0.991,2.22174830139253e-82
"CDHR5",1.98782687364788e-84,2.34993616250229,0.614,0.192,2.90202845283854e-80
"TPM2",1.02551084245002e-83,-1.56753606240761,0.834,0.975,1.49714327889278e-79
"MT1X",1.29992405944915e-83,1.73861098256824,0.808,0.392,1.89775913438981e-79
"MMP14",1.35590346018169e-82,-1.52935064202414,0.642,0.942,1.97948346151924e-78
"PPP1R1B",2.58140857804978e-82,2.4311515062801,0.526,0.135,3.76859838309487e-78
"PABPC1",2.86818267989818e-81,0.746513914886766,1,0.998,4.18725989438335e-77
"NXPE1",7.17958543329939e-81,3.80453231322468,0.241,0.02,1.04814767740738e-76
"SEMA4G",1.35259734812402e-79,3.03078578380989,0.311,0.04,1.97465686852626e-75
"ACTA2",4.34015761460077e-79,-1.34433374608747,0.845,0.971,6.33619610155567e-75
"TNC",7.32279918737651e-79,-1.99528000355461,0.461,0.862,1.0690554533651e-74
"GPR160",1.90221950465472e-78,2.35750571547816,0.487,0.117,2.77705025484542e-74
"IFITM3",7.37862159275314e-77,-0.949559290066134,0.912,0.993,1.07720496632603e-72
"MFSD11",4.48160097006589e-75,2.31287236168957,0.567,0.174,6.5426892561992e-71
"PADI2",5.56628285645903e-75,2.58438411362171,0.412,0.085,8.12621634214454e-71
"BGN",1.61084598461294e-74,-1.56627795676395,0.49,0.885,2.35167405293642e-70
"EPCAM",1.88058514897786e-73,1.19177838146076,0.938,0.798,2.74546625899278e-69
"CHCHD10",1.98132762793898e-73,1.64598799941971,0.785,0.39,2.89254020402811e-69
"TGFBI",9.89204247758206e-72,-1.31099909094209,0.702,0.956,1.4441392813022e-67
"FXYD3",2.9977861838084e-71,1.52840790795044,0.876,0.59,4.37646804974188e-67
"IL32",9.16310398832057e-70,-1.18429348221749,0.87,0.987,1.33772155125492e-65
"SATB2",2.12408908255627e-69,2.49095156105083,0.376,0.073,3.10095765162389e-65
"UGT2A3",8.7889693020507e-69,3.46569083540097,0.215,0.019,1.28310162840638e-64
"S100A11",3.21433079027295e-68,-1.11027604585863,0.889,0.991,4.69260152071948e-64
"PDCD4",6.55381604972456e-68,1.84600695550145,0.624,0.223,9.56791605099288e-64
"GOLM1",2.69312679156564e-67,1.23426237197096,0.909,0.681,3.93169580300668e-63
"CDX1",3.31796988150084e-66,2.24815513850217,0.422,0.1,4.84390423000308e-62
"SRSF2",3.0605612310632e-65,2.02982097570938,0.611,0.222,4.46811334122916e-61
"KLK1",2.77767717547657e-64,2.53582089560528,0.37,0.078,4.05513090847825e-60
"TMEM54",4.44516670329025e-64,1.70514416204629,0.663,0.259,6.48949887013344e-60
"COL6A2",1.88338238710623e-63,-1.12386025832795,0.681,0.95,2.74954994693638e-59
"DES",4.34604271176623e-63,-2.17237527304942,0.495,0.821,6.34478775490752e-59
"CDC42EP5",8.37439405065084e-63,1.41517913032352,0.834,0.518,1.22257778745452e-58
"EEF1B2",1.62797518576773e-62,0.848389291064421,0.987,0.955,2.37668097370231e-58
"CDHR1",7.27623773364874e-62,3.61161566915613,0.184,0.015,1.06225794673538e-57
"SPON2",1.62526847729724e-61,-1.30090923839476,0.591,0.89,2.37272945000624e-57
"RETNLB",2.39982104247209e-61,3.56441372299186,0.21,0.022,3.50349873990501e-57
"MT1HL1",4.60856375188597e-61,2.79605776812117,0.262,0.037,6.72804222137832e-57
"GPX2",5.11964572062395e-61,1.53290450946028,0.689,0.287,7.47417078753891e-57
"NRARP",1.23021075854226e-60,2.04274813803678,0.526,0.175,1.79598468639584e-56
"CCL28",5.06452069792635e-59,2.47151207412969,0.303,0.055,7.39369376690267e-55
"CTSB",5.72506336811248e-59,-1.20942242617283,0.627,0.925,8.35802001110742e-55
"C2orf72",5.81079375649192e-58,2.95628071604485,0.236,0.032,8.48317780510255e-54
"CXCL14",3.28233129031174e-57,2.441384346774,0.329,0.068,4.79187545072611e-53
"AEBP1",4.76201567184392e-56,-1.44931517176273,0.503,0.833,6.95206667932494e-52
"ANO7",1.75595651276759e-55,3.21416982476093,0.202,0.023,2.56352091298941e-51
"TMSB4X",4.3450214927446e-55,-0.40984236315462,1,1,6.34329687725784e-51
"VIM",1.09304269090253e-54,-0.929876985373413,0.845,0.98,1.59573302444861e-50
"FAM3D",1.99187634077157e-54,1.93281485557602,0.503,0.173,2.90794026989242e-50
"POSTN",2.63137490229834e-54,-1.55330474863197,0.505,0.822,3.84154421986534e-50
"LYPD8",1.39957040097547e-52,3.30557233040074,0.171,0.016,2.04323282838408e-48
"CES3",1.71457192278121e-52,2.98543050570847,0.194,0.023,2.50310355006829e-48
"ANXA2",1.98589877150002e-52,-0.856031980001123,0.935,0.992,2.89921361651287e-48
"KIAA1324",1.07639659706103e-51,3.43529850355896,0.181,0.02,1.57143139204939e-47
